chain_len,round,e2e_ns,publish_ns,gc_trigger_ns,invoke_cb_ns,getnext_ns,take_data_ns,sched_ns,dispatch_ns
4,0,15913660,1562230,0,0,147320,0,14071080,5895840057
4,1,11207290,3558520,0,0,227790,0,7568710,6431962807
4,2,18056020,5330430,0,0,369060,0,12629870,7047405727
4,3,17841190,5268430,0,0,366970,0,12469510,7647006847
4,4,18038740,5309100,0,0,371380,0,12633600,8247112507
4,5,18731480,5504570,0,0,389130,0,13119300,8848528457
4,6,18614850,5483900,0,0,643650,0,13031760,9448025657
4,7,18522770,5432580,0,0,566200,0,12981230,10047932407
4,8,18703490,5503000,0,0,401200,0,13093200,10648195517
4,9,17893110,5291380,0,0,368100,0,12496050,11246831227
4,10,18635510,5486860,0,0,640250,0,13050920,11848063297
4,11,18562450,5491420,0,0,624960,0,12970200,12448039987
4,12,18469570,5449040,0,0,383700,0,12922070,13047696147
4,13,17486660,5108020,0,0,503460,0,12272200,13647532977
4,14,18810550,5290940,0,0,371360,0,13417700,14248832787
4,15,7061430,3164280,0,0,116950,0,3808410,14822607667
4,16,18401720,5449180,0,0,376260,0,12853350,15447468917
4,17,19771550,5386780,0,0,721360,0,14128070,16049664237
4,18,17872830,5100830,0,0,362730,0,12528690,16647012777
4,19,18045730,5440940,0,0,366120,0,12499710,17247478597
4,20,8033900,3324190,0,0,182530,0,4621080,17824401047
4,21,18554350,5368910,0,0,456990,0,13084820,18448231777
4,22,18635800,5510720,0,0,529290,0,13018000,19048835277
4,23,18487740,5472610,0,0,547180,0,12911500,19648081247
4,24,18566260,5517230,0,0,551400,0,12948520,20247926147
4,25,17894270,5251110,0,0,369880,0,12539030,20846687417
4,26,17846350,5352460,0,0,368130,0,12396510,21446419637
4,27,18497820,5420190,0,0,384410,0,12971980,22047753857
4,28,18611600,5419150,0,0,450730,0,13092150,22647737277
4,29,12215400,3550700,0,0,429810,0,8578470,23236726747
4,30,12292590,3416620,0,0,427450,0,8784340,23837032977
4,31,18580480,5448180,0,0,386260,0,13030440,24448178407
4,32,18381660,5415060,0,0,371240,0,12855800,25047760657
4,33,19402880,5350790,0,0,436780,0,13956440,25648574357
4,34,18586060,5368060,0,0,368120,0,13114830,26249294457
4,35,18374180,5318560,0,0,389540,0,12953050,26848470997
4,36,18495680,5461290,0,0,541050,0,12928230,27447926897
4,37,18195550,5314520,0,0,378330,0,12784410,28047156857
4,38,18400350,5412490,0,0,378090,0,12881100,28647332397
4,39,18600170,5488800,0,0,644240,0,13012780,29247939127
4,40,18378480,5403710,0,0,375210,0,12870690,29847521827
4,41,18734900,5435480,0,0,419880,0,13199090,30447931817
4,42,16474990,5095230,0,0,453080,0,11278090,31046042647
4,43,18503420,5474370,0,0,546620,0,12918580,31647758317
4,44,18678990,5500350,0,0,566020,0,13075540,32248043187
4,45,7811280,3084710,0,0,112610,0,4641020,32824746267
4,46,18454470,5453750,0,0,380280,0,12895050,33447532757
4,47,18838170,5302210,0,0,365180,0,13436420,34048472437
4,48,17781930,5299470,0,0,366110,0,12391070,34646406207
4,49,18530890,5453730,0,0,569030,0,12976490,35247763737
4,50,18543970,5467590,0,0,386890,0,12978350,35847564267
4,51,18544110,5464670,0,0,380950,0,12977940,36447631297
4,52,18583820,5456320,0,0,613170,0,13023270,37047678907
4,53,18516480,5437480,0,0,390320,0,12974410,37647605777
4,54,18460230,5446340,0,0,376140,0,12915920,38247373517
4,55,18307030,5305340,0,0,401020,0,12897690,38848044647
4,56,18441390,5424220,0,0,379260,0,12918170,39447221097
