chain_len,round,e2e_ns,publish_ns,gc_trigger_ns,invoke_cb_ns,getnext_ns,take_data_ns,sched_ns,dispatch_ns
5,10,25921600,1567190,0,0,0,0,24222250,0
5,11,19293260,1101630,0,0,0,0,18078270,0
5,12,26180910,1583750,0,0,0,0,24462120,0
5,13,23454530,1616070,0,0,0,0,21695030,0
5,14,22816710,1425870,0,0,0,0,21266660,0
5,15,24114950,1259980,0,0,0,0,22726310,0
5,16,23589260,1690560,0,0,0,0,21775290,0
5,17,20977880,1417980,0,0,0,0,19436500,0
5,18,22558950,1334540,0,0,0,0,20949240,0
5,19,21832130,1379230,0,0,0,0,20328300,0
5,20,21660880,1351940,0,0,0,0,20184710,0
5,21,21654700,1378950,0,0,0,0,20147170,0
5,22,21623130,1545650,0,0,0,0,19954200,0
5,23,21227700,1175600,0,0,0,0,19762690,0
5,24,20453560,1690430,0,0,0,0,18572990,0
5,25,25006300,1662030,0,0,0,0,23216420,0
5,26,21388390,1392480,0,0,0,0,19871340,0
5,27,25613900,1501950,0,0,0,0,23970320,0
5,28,16116390,974720,0,0,0,0,15022650,0
5,29,18257830,1262680,0,0,0,0,16869710,0
5,30,27870920,2690800,0,0,0,0,24994110,0
5,31,10155530,1053560,0,0,0,0,8977930,0
5,32,10361610,1057990,0,0,0,0,9176520,0
5,33,21478500,1327920,0,0,0,0,20025620,0
5,34,16818340,1945630,0,0,0,0,14667490,0
5,35,20548540,1271750,0,0,0,0,19153770,0
5,36,21535830,1368500,0,0,0,0,20041210,0
5,37,19978730,1487180,0,0,0,0,18355970,0
5,38,10315050,1056780,0,0,0,0,9137290,0
5,39,21821720,1412510,0,0,0,0,20281150,0
5,40,12949020,861870,0,0,0,0,11796100,0
5,41,10584640,1048840,0,0,0,0,9418540,0
5,42,24636200,1385070,0,0,0,0,23117990,0
5,43,22168850,1259530,0,0,0,0,20612640,0
5,44,18968730,1647190,0,0,0,0,16873530,0
5,45,23127440,2467200,0,0,0,0,20475190,0
5,46,19381690,2630940,0,0,0,0,16567870,0
5,47,17971410,1067800,0,0,0,0,16788560,0
5,48,21407430,1437340,0,0,0,0,19843010,0
