chain_len,round,e2e_ns,publish_ns,gc_trigger_ns,invoke_cb_ns,getnext_ns,take_data_ns,sched_ns,dispatch_ns
4,10,17878790,1519950,98790,27720,573920,227700,16249190,353800
4,11,20604230,1646070,113050,31610,907150,463800,18842830,125920
4,12,18935400,1546670,114600,34710,939710,259900,17276560,109810
4,13,14023520,1433240,372180,33810,231740,96730,12214120,40450
4,14,24099400,1753340,129270,47260,1047830,347640,22052060,136780
4,15,18998340,2738700,104850,27840,607400,253150,16022380,102790
4,16,18314450,1924120,398480,37210,546680,204890,16224350,81690
4,17,7879930,903200,64580,19050,225260,92740,6876110,38190
4,18,27466680,1847280,131120,37790,1297820,726660,25509180,483560
4,19,17554620,1702190,114690,35230,472080,198580,15681530,212960
4,20,8639100,973270,68420,19460,272280,98940,7565350,42370
4,21,19033280,1709280,402030,203510,897240,550540,17217660,98620
4,22,18719960,1462120,107610,29700,925940,346920,17158840,105670
4,23,8067520,1126410,68250,20510,234270,97010,6843810,42360
4,24,9093280,998590,70350,20330,253810,106200,7984850,89190
4,25,9092210,957400,66660,19370,285030,141970,8031380,43250
4,26,16959800,1209070,110760,27130,584010,220490,15337840,92940
4,27,18444800,1490700,99230,36420,768520,382200,16844990,102720
4,28,7907300,907990,223550,19520,223010,90710,6908310,38010
4,29,14611440,1483000,98220,28430,254340,106600,12598990,47140
4,30,18578740,1748160,103100,31080,764200,266010,16720250,117870
4,31,19174810,1570270,108930,37330,894980,505960,17484470,112020
4,32,8775190,940120,74510,19180,239310,97990,7729180,43370
4,33,16075140,1517600,98100,27460,605290,226150,14449550,97130
4,34,7902530,990370,69480,19590,255900,107560,6804450,46720
4,35,13189480,1489510,99590,28310,288160,144210,11269170,47420
4,36,19003810,1800120,105960,29920,648480,263290,17084780,114310
4,37,9143660,997740,61210,18770,219310,88690,8051080,38620
4,38,8710160,1036300,62490,57800,224930,92580,7574440,38400
4,39,18824150,1785790,103210,29790,670550,284410,16924330,111730
4,40,18675740,1571230,111610,29680,771540,385920,16994460,108950
4,41,7810730,750350,63420,19370,234590,97720,6812280,41330
4,42,19035390,1171280,105210,28670,819840,416400,17763220,110400
4,43,8544360,514740,43720,12870,409730,202000,7982340,60100
4,44,9459440,1219920,79230,19790,249760,106630,8128360,46640
4,45,14810510,1266100,89990,25930,488990,205450,13433500,279690
4,46,8444870,1110090,67040,19240,275720,100940,7234440,41730
4,47,19018090,1153980,100980,29280,904690,417210,17766940,108460
4,48,19449090,1478640,103020,39510,801210,263910,17861500,106460
4,49,23915820,1530350,118440,33700,762790,315250,22113890,154040
4,50,18971240,1183520,116530,29800,918770,509860,17684540,111640
4,51,22846210,1862750,275450,36630,1094310,626760,20865540,131620
4,52,18417190,1247030,112300,28580,778030,393580,17070310,104330
4,53,18936260,1451440,101320,29820,900830,411330,17378900,112700
4,54,19508450,1619830,273350,32160,1025450,300740,17774770,118970
4,55,19147610,1822280,398260,31690,825200,269820,17217810,111390
4,56,9411500,1074310,63650,18590,230610,91530,8234080,38270
4,57,18995260,1473510,387170,29750,663410,264890,17423480,104690
4,58,17544520,1447650,110960,28430,610180,259010,15994250,401260
4,59,21748970,1594260,131780,38350,929830,483810,19941200,129840
4,60,19776050,1849730,107830,31250,707490,284190,17814970,118120
4,61,19174620,1199030,126630,29660,829340,277890,17873750,111160
4,62,19128500,1787600,100660,302710,817680,272600,17218810,120400
4,63,18842860,1738750,102430,314260,918770,270480,17002000,109730
4,64,8661940,983930,225480,20040,281310,139050,7573160,46550
4,65,18662960,1791520,107270,29720,690860,258900,16757830,105290
4,66,16825100,1558430,96380,28240,694020,236130,15134950,106760
4,67,18971570,1828650,105330,30020,637780,253640,17028900,118410
4,68,16125420,1531790,92250,27350,521350,212640,14483620,89200
4,69,20700800,1602710,126050,32810,915320,303370,18973420,124340
4,70,18549450,1770210,101530,29820,676090,306800,16662250,117530
4,71,16319140,1109360,98890,26650,652490,221230,14806300,88450
4,72,8460960,960190,79610,18360,253060,107700,7401510,46710
4,73,18684860,2001960,107270,30010,691720,283550,16561100,121780
4,74,15644900,1405940,103710,30400,769880,419650,14126040,101120
4,75,18942220,1776310,105040,30600,644560,257590,17052950,109260
4,76,21010270,2866710,118600,30590,685900,271110,18022690,265440
4,77,21234410,1885840,464850,34710,867540,347150,19241160,145950
