chain_len,round,e2e_ns,publish_ns,gc_trigger_ns,invoke_cb_ns,getnext_ns,take_data_ns,sched_ns,dispatch_ns
5,0,26237490,12250450,0,0,0,0,13743890,0
5,1,9731310,1624970,0,0,0,0,8084600,0
5,2,8409140,1553850,0,0,0,0,6831690,0
5,3,22455460,4781210,0,0,0,0,17573080,0
5,4,18262460,3469190,0,0,0,0,14709310,0
5,5,22452530,4750930,0,0,0,0,17595960,0
5,6,22846830,4832200,0,0,0,0,17911570,0
5,7,23145210,4792830,0,0,0,0,18256970,0
5,8,22905560,4841090,0,0,0,0,17968580,0
5,9,35487740,6764480,0,0,0,0,28611170,0
5,10,21695110,4814980,0,0,0,0,16775980,0
5,11,22994380,4929970,0,0,0,0,17967620,0
5,12,22005340,4694000,0,0,0,0,17210750,0
5,13,23022340,4783370,0,0,0,0,18135890,0
5,14,23109360,4755320,0,0,0,0,18258800,0
5,15,23202510,4759510,0,0,0,0,18347040,0
5,16,22731830,4911250,0,0,0,0,17723430,0
5,17,33478380,7364040,0,0,0,0,26005680,0
5,18,22870410,4812550,0,0,0,0,17960680,0
5,19,22762210,4816270,0,0,0,0,17844980,0
5,20,23008630,4746900,0,0,0,0,18160540,0
5,21,23008490,4745880,0,0,0,0,18166780,0
5,22,23000180,4828800,0,0,0,0,18068750,0
5,23,22855690,4779950,0,0,0,0,17974810,0
5,24,23177370,4870480,0,0,0,0,18209530,0
5,25,23133120,4809470,0,0,0,0,18226050,0
5,26,35090910,6884150,0,0,0,0,28092950,0
5,27,23624750,4679630,0,0,0,0,18852460,0
5,28,11622880,3500910,0,0,0,0,8034670,0
5,29,23125410,4783550,0,0,0,0,18245840,0
5,30,22911190,4790750,0,0,0,0,18024950,0
5,31,22918110,4801800,0,0,0,0,18018890,0
5,32,24499670,4869670,0,0,0,0,19527010,0
5,33,23628790,5197760,0,0,0,0,18327260,0
5,34,22906540,4829860,0,0,0,0,17976310,0
5,35,22691040,4774230,0,0,0,0,17821840,0
5,36,19090320,3731840,0,0,0,0,15260980,0
5,37,23153700,4827050,0,0,0,0,18223380,0
5,38,22409550,4885350,0,0,0,0,17429640,0
5,39,25216320,5497240,0,0,0,0,19609490,0
5,40,13343150,3505220,0,0,0,0,9751510,0
5,41,22771390,4821090,0,0,0,0,17846540,0
5,42,22550870,4807570,0,0,0,0,17644290,0
5,43,21737430,4830230,0,0,0,0,16804430,0
5,44,22674910,4836500,0,0,0,0,17737970,0
5,45,22518730,4871480,0,0,0,0,17551130,0
