chain_len,round,e2e_ns,publish_ns,gc_trigger_ns,invoke_cb_ns,getnext_ns,take_data_ns,sched_ns,dispatch_ns
5,10,21436080,1366910,96160,28910,567950,230290,19969570,96910
5,11,22162780,1301600,98280,29390,661950,246570,20594360,85880
5,12,22344020,1290270,89660,29250,610850,249140,20781010,88500
5,13,22051180,1272950,89560,28500,623810,247870,20681100,95140
5,14,22404000,1312230,93780,30170,605880,246760,20827240,94270
5,15,11269870,1203550,74520,22680,330370,135640,9964250,49990
5,16,20711270,1741680,101900,32920,930130,314880,18867830,102270
5,17,21824040,1294530,92400,29400,701050,260040,20424610,95070
5,18,22475430,1477090,92020,32880,618860,251890,20904880,95270
5,19,21842650,1151170,96620,31300,773570,243540,20584730,88190
5,20,22489760,1274770,91540,29440,603580,243290,20944220,86080
5,21,10665680,995300,72370,21620,309210,123730,9576260,43540
5,22,21993610,1192960,99910,30180,738710,370000,20695420,99670
5,23,22090420,1280740,96330,30670,602610,241420,20711580,86650
5,24,21858260,1289760,94430,30000,629490,264460,20467750,86680
5,25,34320370,2006790,127030,39800,982260,399860,32200400,140060
5,26,22219650,1278970,90530,28470,652820,244460,20681510,83720
5,27,12682730,1004640,227830,22330,329110,132230,11586570,44510
5,28,10199410,810120,64910,21060,313550,124380,9289270,44380
5,29,22488600,1303580,91630,30230,599600,239740,20929060,83470
5,30,11574720,1143690,230860,22360,392250,128490,10338020,48890
5,31,21886020,1292640,94080,29930,692430,292150,20486190,90260
5,32,10239770,852810,66780,21680,317280,127870,9122450,45000
5,33,23274430,1648630,100950,32040,638970,268530,21527320,89910
5,34,22103420,1154420,93460,28620,733610,366320,20856300,90380
5,35,26248060,1253390,104680,32690,1128800,480160,24887020,124100
5,36,21754230,1316720,96890,29280,661330,242020,20334750,85250
5,37,21701740,1284650,92610,29810,676430,314430,20312380,86200
5,38,22548780,1495230,260850,30650,790600,277330,20952120,100740
5,39,22240850,1301560,99150,29580,620330,246900,20830800,86990
5,40,21417720,1150360,88230,29430,601550,241180,20006110,90710
5,41,22077120,1305790,93540,29910,626890,255630,20666970,96490
5,42,22103350,1307050,93310,37830,640140,255780,20693580,91140
5,43,21245560,1109730,87380,31260,596790,238410,20033700,81090
5,44,21751720,1332730,94700,30310,650330,243760,20309980,89180
5,45,22045390,1301320,94890,30020,594860,237890,20638660,86920
5,46,22211000,1282910,91970,29670,632830,241820,20657920,83970
5,47,22166470,1323790,102060,29710,695050,287910,20583310,86580
5,48,13055010,793480,63890,20900,310330,124500,12174510,44290
5,49,21663970,1357150,95120,28820,660540,249390,20211790,94190
5,50,22330480,1496440,93600,29370,692990,255530,20730390,90240
5,51,22527210,1168450,93660,31050,634910,259540,21262550,236340
5,52,22002370,1269370,92600,30140,659110,239200,20629050,89620
5,53,21197500,1228810,87200,147740,568980,237420,19864180,77030
5,54,22015530,1168820,91460,29800,655800,247830,20625610,85700
5,55,20497970,1112610,90660,29260,675550,226910,19276800,145610
5,56,22351580,1307020,102940,29310,606000,243630,20788050,88450
5,57,21580910,1314260,96530,33040,675710,250250,20150940,92560
5,58,22090960,1313250,94760,30220,629120,254610,20681670,91750
5,59,21283750,1461360,98660,29320,571950,238700,19716290,109070
5,60,22004700,1160500,94310,29040,593030,244380,20744430,214370
5,61,21728620,1301310,97160,28430,691140,280950,20328960,84000
5,62,22175410,1286590,92330,28660,647930,246460,20637930,91710
5,63,22176360,1274550,94860,29030,623070,251800,20643350,90910
5,64,21429570,1335230,92180,27810,578840,234800,19999790,85990
5,65,21914950,1177280,93020,29430,753370,250370,20626830,94130
5,66,30868960,2381860,146590,45760,1279100,627070,28227140,171510
5,67,20852460,1325820,90610,28380,639440,272150,19439490,90510
5,68,12181250,597940,46350,14070,452920,189230,11547000,68040
5,69,21960130,1148610,93440,29100,714750,363760,20697380,86570
5,70,10446710,869390,68520,21770,317530,128200,9463320,47400
5,71,14514620,1107770,68450,21500,319610,130930,13311900,82790
5,72,22234410,1169360,92930,29630,770330,382040,20967560,91530
5,73,21996850,1136510,90350,29740,601470,243290,20754400,195580
5,74,22097790,1136260,91550,30730,594550,238370,20859280,209990
5,75,22840540,1349640,93650,30210,879020,413940,21386690,101700
5,76,21837810,1351300,93490,29320,586770,236280,20224590,85070
5,77,22308700,1474040,95060,38060,617780,248340,20734020,88820
5,78,22374230,1456780,92210,28360,604630,248430,20818230,84530
5,79,21866650,1276750,92990,27630,682190,238340,20499210,86510
5,80,22618300,1464790,104510,32030,601540,250020,21053750,90040
5,81,22585830,1102950,91090,28400,817090,476450,21377440,80230
5,82,22308180,1144750,91030,29000,605480,245210,20889070,204480
5,83,22433780,1165560,93500,30350,611190,247660,21007840,211450
5,84,21487360,1156380,92100,28870,612390,248400,20234150,85420
5,85,10600090,841680,66350,21550,311120,126290,9487490,47090
5,86,21102530,1276290,87000,193330,574520,232970,19731850,81050
5,87,21686580,1342290,97530,29220,660200,247860,20250220,85830
5,88,21876020,1277840,93790,30400,688430,285240,20503430,84610
5,89,21642720,1272150,91310,30050,656030,238650,20276940,86120
5,90,10823220,1029280,66950,21950,314480,126900,9698390,46030
5,91,21580570,1293460,92300,29350,595820,237960,20192180,145630
5,92,11543390,1038200,74810,22160,375640,136340,10411360,47650
5,93,21657810,1316190,134670,29330,659070,302660,20232640,89410
5,94,22058700,1348310,94230,30010,627290,260880,20609150,95770
5,95,21338980,1324270,92620,28540,594620,238250,19898060,82500
5,96,21721250,1314110,90510,28950,583880,245930,20150900,80090
5,97,21434140,1313590,89730,28370,571320,225250,20014650,86160
5,98,20259690,1576210,105860,32500,688610,278260,18571990,101900
5,99,23109560,1218770,230240,28590,686650,356190,21798750,89240
5,100,21778540,1233070,98520,30950,677850,322750,20426810,210490
5,101,23583280,1308500,227600,31420,674650,273280,22018100,87600
5,102,22001070,1300530,90400,28360,612060,241340,20610460,85390
