chain_len,round,e2e_ns,publish_ns,gc_trigger_ns,invoke_cb_ns,getnext_ns,take_data_ns,sched_ns,dispatch_ns
2,10,1064780,652340,0,0,0,0,337360,0
2,11,976760,622140,0,0,0,0,286750,0
2,12,961720,610580,0,0,0,0,283990,0
2,13,941160,591060,0,0,0,0,282700,0
2,14,942790,593450,0,0,0,0,280560,0
2,15,976340,624660,0,0,0,0,283610,0
2,16,933840,598090,0,0,0,0,269360,0
2,17,1071890,680440,0,0,0,0,324930,0
2,18,972530,626470,0,0,0,0,275320,0
2,19,916230,585460,0,0,0,0,270900,0
2,20,979900,620030,0,0,0,0,284790,0
2,21,932460,585340,0,0,0,0,280120,0
2,22,993190,632190,0,0,0,0,289760,0
2,23,972720,616870,0,0,0,0,284700,0
2,24,1020790,647800,0,0,0,0,298050,0
2,25,901350,571980,0,0,0,0,270030,0
2,26,963550,595610,0,0,0,0,289530,0
2,27,879030,555190,0,0,0,0,265000,0
2,28,887380,566190,0,0,0,0,263150,0
2,29,937240,587580,0,0,0,0,280420,0
2,30,900990,571690,0,0,0,0,268190,0
2,31,947900,612430,0,0,0,0,273650,0
2,32,1082330,676040,0,0,0,0,324920,0
2,33,901810,574160,0,0,0,0,266650,0
2,34,905800,560870,0,0,0,0,276900,0
2,35,928790,582370,0,0,0,0,278580,0
2,36,927890,572960,0,0,0,0,280590,0
2,37,908590,573970,0,0,0,0,270460,0
2,38,955640,601080,0,0,0,0,280800,0
2,39,912950,574410,0,0,0,0,277820,0
2,40,927520,576810,0,0,0,0,280000,0
2,41,1003910,633910,0,0,0,0,294400,0
2,42,955450,607570,0,0,0,0,281990,0
2,43,983520,490950,0,0,0,0,290590,0
2,44,945630,589080,0,0,0,0,285920,0
2,45,973680,608150,0,0,0,0,292010,0
2,46,932010,589170,0,0,0,0,273880,0
2,47,1025850,637700,0,0,0,0,321820,0
2,48,923530,482650,0,0,0,0,282300,0
2,49,934070,584230,0,0,0,0,281150,0
2,50,884740,558020,0,0,0,0,268120,0
2,51,942480,590680,0,0,0,0,284020,0
2,52,897350,564570,0,0,0,0,265520,0
2,53,1304670,553930,0,0,0,0,685060,0
2,54,1325060,596450,0,0,0,0,574220,0
2,55,926680,485990,0,0,0,0,281020,0
2,56,925220,489790,0,0,0,0,280930,0
2,57,904080,478640,0,0,0,0,273400,0
2,58,938980,486220,0,0,0,0,294790,0
2,59,956400,508680,0,0,0,0,290930,0
2,60,1313710,590650,0,0,0,0,563220,0
2,61,1376330,644740,0,0,0,0,584650,0
2,62,1265490,562410,0,0,0,0,511820,0
2,63,948270,496650,0,0,0,0,283420,0
2,64,904410,479800,0,0,0,0,268750,0
2,65,937060,491130,0,0,0,0,273890,0
2,66,974420,506470,0,0,0,0,291490,0
2,67,900960,476120,0,0,0,0,280470,0
2,68,858540,452580,0,0,0,0,271190,0
2,69,867170,464800,0,0,0,0,262150,0
2,70,921400,499270,0,0,0,0,270880,0
2,71,923830,488450,0,0,0,0,279440,0
2,72,902080,481380,0,0,0,0,281400,0
2,73,870190,467650,0,0,0,0,266950,0
2,74,888740,471880,0,0,0,0,266800,0
2,75,877800,454150,0,0,0,0,285570,0
2,76,884200,473670,0,0,0,0,270930,0
2,77,1187110,566210,0,0,0,0,474850,0
2,78,1606860,1130890,0,0,0,0,337940,0
2,79,2093670,1146400,0,0,0,0,809320,0
2,80,2124830,1173330,0,0,0,0,809700,0
2,81,1376030,718300,0,0,0,0,556380,0
2,82,1271870,525830,0,0,0,0,565930,0
2,83,1265060,577410,0,0,0,0,544280,0
2,84,877700,497160,0,0,0,0,311720,0
2,85,908190,515060,0,0,0,0,316360,0
2,86,876950,462550,0,0,0,0,277280,0
2,87,1338520,471120,0,0,0,0,720900,0
2,88,876930,502500,0,0,0,0,303770,0
2,89,801460,468400,0,0,0,0,269690,0
2,90,1021250,496110,0,0,0,0,453440,0
2,91,871950,510210,0,0,0,0,288800,0
2,92,1129860,569110,0,0,0,0,485240,0
2,93,829360,481640,0,0,0,0,279260,0
2,94,786950,459560,0,0,0,0,267030,0
2,95,1698760,1080150,0,0,0,0,497120,0
2,96,852990,484300,0,0,0,0,293990,0
2,97,852830,502660,0,0,0,0,282180,0
2,98,806350,465300,0,0,0,0,277580,0
2,99,836220,490100,0,0,0,0,277360,0
2,100,868090,510550,0,0,0,0,284480,0
2,101,1229050,490170,0,0,0,0,667390,0
2,102,826850,477490,0,0,0,0,284320,0
2,103,794640,458770,0,0,0,0,272680,0
2,104,845730,487290,0,0,0,0,279450,0
2,105,790790,463120,0,0,0,0,266190,0
2,106,787440,459970,0,0,0,0,263830,0
2,107,1382830,693470,0,0,0,0,622560,0
2,108,834640,481160,0,0,0,0,282980,0
2,109,856070,500400,0,0,0,0,284400,0
2,110,837490,488930,0,0,0,0,278260,0
2,111,854840,498920,0,0,0,0,280750,0
2,112,1227250,485870,0,0,0,0,673780,0
2,113,844550,486150,0,0,0,0,289170,0
2,114,816890,470300,0,0,0,0,279130,0
2,115,839750,485460,0,0,0,0,279590,0
2,116,805630,466680,0,0,0,0,274900,0
2,117,869440,500370,0,0,0,0,295500,0
2,118,1010770,497260,0,0,0,0,445030,0
2,119,1989660,1105820,0,0,0,0,759650,0
2,120,1036990,509650,0,0,0,0,447780,0
2,121,795230,462850,0,0,0,0,269820,0
2,122,1341660,645430,0,0,0,0,629590,0
2,123,831180,479560,0,0,0,0,280740,0
2,124,1012580,479730,0,0,0,0,462520,0
2,125,1456060,1015920,0,0,0,0,317630,0
2,126,1020470,487060,0,0,0,0,459730,0
2,127,1256280,488750,0,0,0,0,690770,0
