chain_len,round,e2e_ns,publish_ns,gc_trigger_ns,invoke_cb_ns,getnext_ns,take_data_ns,sched_ns,dispatch_ns
4,10,17874590,1308850,0,0,0,0,16459060,0
4,11,18149870,1391950,0,0,0,0,16652540,0
4,12,18750080,1317700,0,0,0,0,17319970,0
4,13,19015330,1463550,0,0,0,0,17431660,0
4,14,18788960,1315130,0,0,0,0,17364490,0
4,15,18215780,1439350,0,0,0,0,16667540,0
4,16,17651410,1083100,0,0,0,0,16391410,0
4,17,18790350,1477160,0,0,0,0,17196910,0
4,18,27704310,1720270,0,0,0,0,25863780,0
4,19,10975250,566970,0,0,0,0,10368330,0
4,20,18842150,1229480,0,0,0,0,17508300,0
4,21,20155630,1662090,0,0,0,0,18381080,0
4,22,17787350,1388890,0,0,0,0,16290630,0
4,23,17833770,1396200,0,0,0,0,16024870,0
4,24,19932350,1820270,0,0,0,0,18001410,0
4,25,19168030,1451630,0,0,0,0,17599490,0
4,26,20431910,1813690,0,0,0,0,18506350,0
4,27,19101870,1790220,0,0,0,0,17198470,0
4,28,20239730,1593100,0,0,0,0,18529740,0
4,29,20401730,1647510,0,0,0,0,18637020,0
4,30,9238010,908440,0,0,0,0,8227020,0
4,31,17560860,1574770,0,0,0,0,15820070,0
4,32,19242690,1903900,0,0,0,0,17229600,0
4,33,18863540,1771940,0,0,0,0,16980630,0
4,34,18555310,1442140,0,0,0,0,16999170,0
4,35,27272320,2414610,0,0,0,0,24739430,0
4,36,18679540,1438290,0,0,0,0,17130460,0
4,37,18652710,1770220,0,0,0,0,16771730,0
4,38,18835320,1794840,0,0,0,0,16930280,0
4,39,18861140,1407830,0,0,0,0,17338720,0
4,40,19037710,1434610,0,0,0,0,17494820,0
4,41,19225130,1689370,0,0,0,0,17422800,0
4,42,18895120,1718920,0,0,0,0,17068010,0
4,43,18098320,1415150,0,0,0,0,16568010,0
4,44,20752510,1629100,0,0,0,0,19015150,0
4,45,18921290,1483840,0,0,0,0,17330950,0
4,46,18953140,1740020,0,0,0,0,17100270,0
4,47,16919740,1341370,0,0,0,0,15394970,0
4,48,19109870,2694500,0,0,0,0,16300230,0
4,49,19167010,1722750,0,0,0,0,17339940,0
4,50,18925110,1443710,0,0,0,0,17379300,0
4,51,17064030,1476830,0,0,0,0,15474040,0
