chain_len,round,e2e_ns,publish_ns,gc_trigger_ns,invoke_cb_ns,getnext_ns,take_data_ns,sched_ns,dispatch_ns
3,10,2360810,1613680,0,0,0,0,681060,0
3,11,4469060,2601580,0,0,0,0,1750930,0
3,12,2891670,1960900,0,0,0,0,851050,0
3,13,2361000,1656920,0,0,0,0,641570,0
3,14,2707640,1804770,0,0,0,0,845310,0
3,15,2386250,1682680,0,0,0,0,639150,0
3,16,2407820,1697140,0,0,0,0,635310,0
3,17,2876480,1927950,0,0,0,0,879510,0
3,18,2287950,1593570,0,0,0,0,633360,0
3,19,2747600,1869170,0,0,0,0,822330,0
3,20,2201200,1540460,0,0,0,0,602790,0
3,21,2316160,1623770,0,0,0,0,621940,0
3,22,2331420,1633170,0,0,0,0,634180,0
3,23,2687150,1790780,0,0,0,0,834920,0
3,24,2271800,1598210,0,0,0,0,613050,0
3,25,2722140,1647580,0,0,0,0,1011110,0
3,26,2340350,1646810,0,0,0,0,629990,0
3,27,2245720,1578970,0,0,0,0,601160,0
3,28,2274570,1593430,0,0,0,0,621140,0
3,29,2321730,1645380,0,0,0,0,616030,0
3,30,2393220,1698730,0,0,0,0,617190,0
3,31,2484620,1452890,0,0,0,0,966080,0
3,32,2609530,1518640,0,0,0,0,1019150,0
3,33,2330470,1654040,0,0,0,0,614050,0
3,34,2290930,1617990,0,0,0,0,613310,0
3,35,2234420,1570760,0,0,0,0,606070,0
3,36,2174540,1522160,0,0,0,0,592640,0
3,37,2298330,1608960,0,0,0,0,627790,0
3,38,2304350,1624610,0,0,0,0,619520,0
3,39,2746800,1671310,0,0,0,0,1013520,0
3,40,2288110,1610910,0,0,0,0,616610,0
3,41,2889840,1453490,0,0,0,0,1370740,0
3,42,2298010,1623430,0,0,0,0,611910,0
3,43,2329860,1629610,0,0,0,0,639260,0
3,44,2302450,1606990,0,0,0,0,631890,0
3,45,2291520,1607110,0,0,0,0,621770,0
3,46,2268630,1580160,0,0,0,0,620080,0
3,47,2558450,1494800,0,0,0,0,835260,0
3,48,2456670,1427290,0,0,0,0,965070,0
3,49,2261200,1586200,0,0,0,0,612250,0
3,50,2190680,1547670,0,0,0,0,586310,0
3,51,2537680,1454460,0,0,0,0,1011760,0
3,52,2323350,1640020,0,0,0,0,621170,0
3,53,2584430,1523800,0,0,0,0,992640,0
3,54,2583800,1692160,0,0,0,0,821740,0
3,55,2321220,1622580,0,0,0,0,634680,0
3,56,2328500,1643390,0,0,0,0,622260,0
3,57,3016660,2245280,0,0,0,0,701300,0
3,58,2840890,1923330,0,0,0,0,851270,0
3,59,2335910,1654480,0,0,0,0,621190,0
3,60,2324300,1654460,0,0,0,0,606880,0
3,61,2563720,1714740,0,0,0,0,787230,0
3,62,2531530,1481910,0,0,0,0,977060,0
3,63,2539280,1664600,0,0,0,0,811260,0
3,64,2273320,1602180,0,0,0,0,611790,0
3,65,2319900,1633460,0,0,0,0,625540,0
3,66,2507210,1458910,0,0,0,0,983020,0
3,67,2323920,1649950,0,0,0,0,612450,0
3,68,2523600,1654080,0,0,0,0,803420,0
3,69,2671720,1749170,0,0,0,0,854820,0
3,70,2564190,1432370,0,0,0,0,1070010,0
3,71,2308170,1631450,0,0,0,0,615290,0
3,72,2575110,1666420,0,0,0,0,845820,0
3,73,2370300,1668020,0,0,0,0,637610,0
3,74,2493490,1453700,0,0,0,0,974340,0
3,75,2268430,1590020,0,0,0,0,616650,0
3,76,2567850,1689460,0,0,0,0,812840,0
3,77,2607520,1693670,0,0,0,0,848500,0
3,78,2600320,1645970,0,0,0,0,893090,0
3,79,2384020,1612930,0,0,0,0,708570,0
3,80,2251300,1583720,0,0,0,0,608090,0
3,81,2327680,1631420,0,0,0,0,634530,0
3,82,2328520,1648080,0,0,0,0,616540,0
3,83,2326530,1629240,0,0,0,0,632770,0
3,84,2363450,1678250,0,0,0,0,625820,0
3,85,2349100,1670240,0,0,0,0,619020,0
3,86,2358960,1665770,0,0,0,0,630510,0
3,87,2878380,1935050,0,0,0,0,879520,0
3,88,2245680,1577450,0,0,0,0,608600,0
3,89,2217340,1560390,0,0,0,0,598060,0
3,90,2514830,1647990,0,0,0,0,804480,0
3,91,2596810,1534160,0,0,0,0,992310,0
3,92,2684090,1566400,0,0,0,0,1033880,0
3,93,2237210,1567850,0,0,0,0,611770,0
3,94,2274580,1593010,0,0,0,0,622630,0
3,95,2354020,1653940,0,0,0,0,634370,0
3,96,2571810,1688620,0,0,0,0,819400,0
3,97,2349850,1662030,0,0,0,0,626750,0
3,98,2216720,1554090,0,0,0,0,604870,0
3,99,2258050,1581290,0,0,0,0,619230,0
3,100,2232800,1562260,0,0,0,0,611850,0
3,101,2265480,1587160,0,0,0,0,616860,0
3,102,2328900,1646290,0,0,0,0,620560,0
3,103,2302020,1614470,0,0,0,0,625820,0
3,104,2330290,1637540,0,0,0,0,630580,0
3,105,2290320,1600160,0,0,0,0,630150,0
