chain_len,round,e2e_ns,publish_ns,gc_trigger_ns,invoke_cb_ns,getnext_ns,take_data_ns,sched_ns,dispatch_ns
10,0,10372120,4496720,0,0,0,0,7553310,0
10,1,20210420,14109590,0,0,0,0,5958530,0
10,2,20986130,14338360,0,0,0,0,6517340,0
10,3,20827450,14789550,0,0,0,0,5911770,0
10,4,21634970,15009510,0,0,0,0,6493300,0
10,5,18521930,13016360,0,0,0,0,5371190,0
10,6,20937260,14235250,0,0,0,0,6563450,0
10,7,20972590,14740410,0,0,0,0,6095280,0
10,8,21001110,14544890,0,0,0,0,6308650,0
10,9,20851540,14481400,0,0,0,0,6231390,0
10,10,13864630,9931530,0,0,0,0,3793920,0
10,11,20926600,14524230,0,0,0,0,6265560,0
10,12,20784310,14397610,0,0,0,0,6247190,0
10,13,20270230,13914790,0,0,0,0,6062290,0
10,14,20904400,14625750,0,0,0,0,6128040,0
10,15,11590400,8252570,0,0,0,0,3213380,0
10,16,31284780,21596150,0,0,0,0,9311860,0
10,17,21009960,14554800,0,0,0,0,6149510,0
10,18,22434060,16040000,0,0,0,0,6187980,0
10,19,19961440,13976960,0,0,0,0,5839040,0
10,20,18518220,13125640,0,0,0,0,5207780,0
10,21,23514280,16145480,0,0,0,0,6986740,0
10,22,21225800,14644470,0,0,0,0,6441020,0
10,23,23612520,16298620,0,0,0,0,7163230,0
10,24,13445540,9832530,0,0,0,0,3464120,0
10,25,25431020,16805560,0,0,0,0,8276740,0
10,26,20210960,14051240,0,0,0,0,5907230,0
10,27,21256270,14911520,0,0,0,0,6210950,0
10,28,20354580,14176930,0,0,0,0,6033230,0
10,29,21954950,15342180,0,0,0,0,6470630,0
10,30,20958630,14262910,0,0,0,0,6533840,0
10,31,19408330,13351200,0,0,0,0,5926070,0
10,32,22763880,15405500,0,0,0,0,6921200,0
10,33,21648830,15372740,0,0,0,0,6117410,0
10,34,24702360,16866680,0,0,0,0,7540940,0
10,35,20781620,14668130,0,0,0,0,5971740,0
10,36,21502160,14298290,0,0,0,0,7066320,0
10,37,21006400,14336630,0,0,0,0,6271270,0
10,38,21101170,14521820,0,0,0,0,6446600,0
10,39,20983820,14330420,0,0,0,0,6522060,0
10,40,21672110,14970110,0,0,0,0,6559730,0
10,41,21179670,14752920,0,0,0,0,6272760,0
10,42,21094280,14642460,0,0,0,0,6314550,0
10,43,21070880,14697920,0,0,0,0,6215170,0
10,44,21502080,14598920,0,0,0,0,6759900,0
10,45,26961080,19089970,0,0,0,0,7713190,0
10,46,21612420,14654210,0,0,0,0,6804520,0
10,47,12357940,9099180,0,0,0,0,3089810,0
10,48,22652480,15104710,0,0,0,0,7405740,0
10,49,23417750,15871590,0,0,0,0,7391910,0
10,50,22169540,15183910,0,0,0,0,6840440,0
10,51,22334770,15582040,0,0,0,0,6608550,0
10,52,31024340,21586270,0,0,0,0,9222510,0
10,53,21756300,14794380,0,0,0,0,6733460,0
