chain_len,round,e2e_ns,publish_ns,gc_trigger_ns,invoke_cb_ns,getnext_ns,take_data_ns,sched_ns,dispatch_ns
2,0,3431760,1718360,0,0,0,0,1408900,0
2,1,1919040,1306870,0,0,0,0,539620,0
2,2,1955890,1004060,0,0,0,0,894550,0
2,3,1636950,1004690,0,0,0,0,557050,0
2,4,2458610,1817680,0,0,0,0,528600,0
2,5,1588490,965810,0,0,0,0,563640,0
2,6,1577720,970340,0,0,0,0,546720,0
2,7,1552650,957390,0,0,0,0,536580,0
2,8,1567360,968500,0,0,0,0,539330,0
2,9,1703890,1248900,0,0,0,0,375440,0
2,10,1556660,960380,0,0,0,0,537970,0
2,11,2156560,1654140,0,0,0,0,390050,0
2,12,1535160,955070,0,0,0,0,521710,0
2,13,1510630,932490,0,0,0,0,521580,0
2,14,1509730,940370,0,0,0,0,512110,0
2,15,1637290,1023140,0,0,0,0,538490,0
2,16,1609160,985520,0,0,0,0,560830,0
2,17,2782170,1826300,0,0,0,0,856160,0
2,18,1605980,973140,0,0,0,0,565450,0
2,19,1321470,914950,0,0,0,0,353050,0
2,20,1559680,968350,0,0,0,0,533780,0
2,21,2820180,1861570,0,0,0,0,842840,0
2,22,2422860,1782900,0,0,0,0,534160,0
2,23,1631760,1002930,0,0,0,0,552610,0
2,24,2469630,1933790,0,0,0,0,425870,0
2,25,1600820,998920,0,0,0,0,544370,0
2,26,1586850,976590,0,0,0,0,545930,0
2,27,1567180,950730,0,0,0,0,553650,0
2,28,1546190,955110,0,0,0,0,523130,0
2,29,1486630,894750,0,0,0,0,529070,0
2,30,1549300,941570,0,0,0,0,541650,0
2,31,1535790,935110,0,0,0,0,531000,0
2,32,1573540,962450,0,0,0,0,550750,0
2,33,1521480,915350,0,0,0,0,546420,0
2,34,1269600,876650,0,0,0,0,337620,0
2,35,1487850,922710,0,0,0,0,507650,0
2,36,1602330,991160,0,0,0,0,549880,0
2,37,1552400,955210,0,0,0,0,531450,0
2,38,1523070,937480,0,0,0,0,528250,0
2,39,1526870,922680,0,0,0,0,549530,0
2,40,1521670,792410,0,0,0,0,528090,0
2,41,1520500,1029180,0,0,0,0,386730,0
2,42,2367830,1859770,0,0,0,0,399790,0
2,43,1563590,1138500,0,0,0,0,362680,0
2,44,1520830,939060,0,0,0,0,526000,0
2,45,1583470,976920,0,0,0,0,546010,0
2,46,2012550,1495250,0,0,0,0,397050,0
2,47,1568340,1062880,0,0,0,0,437420,0
2,48,1426670,970700,0,0,0,0,383600,0
2,49,1625790,992120,0,0,0,0,572660,0
2,50,1580060,968820,0,0,0,0,551240,0
2,51,1634250,978170,0,0,0,0,594650,0
2,52,1573760,978040,0,0,0,0,535720,0
2,53,1515490,936680,0,0,0,0,522650,0
2,54,1550080,966230,0,0,0,0,517600,0
2,55,2410720,1767860,0,0,0,0,533790,0
2,56,1358320,943420,0,0,0,0,350310,0
2,57,1259350,878400,0,0,0,0,325900,0
2,58,1548440,961470,0,0,0,0,525770,0
2,59,1944970,1113140,0,0,0,0,417440,0
2,60,1529730,940630,0,0,0,0,526240,0
2,61,1595180,988580,0,0,0,0,539460,0
2,62,1599020,987060,0,0,0,0,549960,0
2,63,1513290,937230,0,0,0,0,516350,0
2,64,1510820,940900,0,0,0,0,509980,0
2,65,1493820,925700,0,0,0,0,511390,0
2,66,1593830,992780,0,0,0,0,536970,0
2,67,1606460,984770,0,0,0,0,557160,0
2,68,1603500,996210,0,0,0,0,536930,0
2,69,1484830,897500,0,0,0,0,528690,0
2,70,1454610,888880,0,0,0,0,511880,0
2,71,1599740,986410,0,0,0,0,552220,0
2,72,1645250,985010,0,0,0,0,588720,0
2,73,458080,306900,0,0,0,0,121930,0
2,74,332950,207970,0,0,0,0,107180,0
2,75,340090,229000,0,0,0,0,93520,0
2,76,360360,234880,0,0,0,0,104800,0
2,77,469150,312970,0,0,0,0,131370,0
2,78,1662750,1039260,0,0,0,0,552650,0
2,79,1747320,1020770,0,0,0,0,662880,0
2,80,1543280,956280,0,0,0,0,531730,0
2,81,1533900,942680,0,0,0,0,532320,0
2,82,1581890,964250,0,0,0,0,549970,0
2,83,1522360,940160,0,0,0,0,522940,0
2,84,1522450,935220,0,0,0,0,529420,0
2,85,1498650,910740,0,0,0,0,528090,0
2,86,1598840,987570,0,0,0,0,548910,0
2,87,1574070,954660,0,0,0,0,550500,0
2,88,1594290,970360,0,0,0,0,554160,0
2,89,1524590,936190,0,0,0,0,527460,0
2,90,1556520,938910,0,0,0,0,556630,0
2,91,2794110,1855570,0,0,0,0,823400,0
2,92,3094210,2034000,0,0,0,0,943680,0
2,93,1761030,1074910,0,0,0,0,392780,0
2,94,1416430,864240,0,0,0,0,499760,0
2,95,1277860,888760,0,0,0,0,327550,0
2,96,1826150,1165690,0,0,0,0,549270,0
2,97,1513180,931700,0,0,0,0,524220,0
2,98,1504430,933400,0,0,0,0,513140,0
2,99,1291220,910760,0,0,0,0,324550,0
2,100,1763540,1084030,0,0,0,0,617460,0
2,101,1724910,1053750,0,0,0,0,379540,0
2,102,1517670,933070,0,0,0,0,524560,0
2,103,1526940,937410,0,0,0,0,528850,0
2,104,1265920,873690,0,0,0,0,342060,0
2,105,1258450,893250,0,0,0,0,313760,0
2,106,2767430,1783870,0,0,0,0,847280,0
2,107,1941190,1175420,0,0,0,0,707460,0
2,108,1515340,932160,0,0,0,0,520140,0
2,109,1580190,978460,0,0,0,0,545480,0
2,110,1549080,956190,0,0,0,0,525960,0
2,111,1565380,966710,0,0,0,0,538950,0
2,112,1545380,954730,0,0,0,0,530910,0
2,113,1540940,949490,0,0,0,0,533990,0
2,114,1514970,937890,0,0,0,0,516770,0
2,115,1453540,889020,0,0,0,0,504900,0
2,116,1469240,1029200,0,0,0,0,374670,0
2,117,1558150,965670,0,0,0,0,532230,0
