chain_len,round,e2e_ns,publish_ns,gc_trigger_ns,invoke_cb_ns,getnext_ns,take_data_ns,sched_ns,dispatch_ns
15,0,58085680,6461980,0,0,1311910,0,51314020,46738724236
15,1,43833590,5459510,0,0,1255790,0,38291310,47578080916
15,2,40085140,5209960,0,0,1294040,0,34822880,49921937526
15,3,35683790,5225060,0,0,1221800,0,30403450,52639451406
15,4,30596130,5284520,0,0,1047930,0,25256580,55849204656
15,5,37066530,7197510,0,0,1119850,0,29745330,58490629126
15,6,30927620,5405560,0,0,1126790,0,25461940,61153124686
15,7,36394410,7087070,0,0,1082730,0,29195370,64073034236
15,8,37087560,7408760,0,0,1082310,0,29551960,66893604746
15,9,42344020,6177080,0,0,1216760,0,36103080,69747161226
15,10,34668030,7267170,0,0,1043620,0,27274480,72450639226
15,11,36510890,7179920,0,0,1226040,0,29204790,75277406196
15,12,36249410,6999990,0,0,1147870,0,29132470,78075272166
15,13,38925760,8010810,0,0,1165610,0,30770540,80950835966
15,14,36600580,7168360,0,0,1175210,0,29312860,83677991896
15,15,36522250,7308080,0,0,1111310,0,28957200,86478933326
15,16,32131000,5781110,0,0,1077060,0,26287600,89183684236
15,17,36153910,7040750,0,0,1066800,0,28996010,92068658296
15,18,35166400,6847070,0,0,1108150,0,28164820,94860609226
15,19,36359560,7137820,0,0,1112520,0,29101380,97674526636
15,20,38753480,6222840,0,0,1080510,0,32354810,100596709666
15,21,44295640,8297310,0,0,1149450,0,35865340,103389711646
15,22,35952850,6924050,0,0,1060000,0,28911130,106067856586
15,23,36013710,6991620,0,0,1050530,0,28895700,108867597366
15,24,37171980,7458260,0,0,1154020,0,29592740,111679215116
15,25,36151010,7163730,0,0,1056160,0,28871090,114467809256
15,26,36929630,7376220,0,0,1080440,0,29422900,117280680836
15,27,36646250,7247990,0,0,1084030,0,29283140,120079547076
15,28,36091040,7127450,0,0,1114360,0,28842460,122882389526
15,29,30694810,5326180,0,0,1152270,0,25310870,125536308946
15,30,36812760,7639100,0,0,1056680,0,29037250,128481644886
15,31,36819590,7306970,0,0,1103180,0,29381060,131281607486
15,32,37003260,7340420,0,0,1084260,0,29547070,134080749006
15,33,48733840,8756810,0,0,1339710,0,39803090,137031669546
15,34,37197040,7613900,0,0,1123660,0,29456330,139680799636
15,35,40357760,8777140,0,0,1227020,0,31386620,142553250176
15,36,36784960,7300560,0,0,1137710,0,29353760,145278723046
15,37,36337440,7083090,0,0,1078550,0,29140610,148071137366
15,38,37375120,7512030,0,0,1188160,0,29734910,150883697576
15,39,36475540,7211650,0,0,1117650,0,29148380,153669027076
15,40,43812440,9801070,0,0,1072670,0,33893190,156572007746
15,41,36716080,7139640,0,0,1146800,0,29437810,159276268236
15,42,37162930,7285000,0,0,1087370,0,29750920,162080695106
15,43,36918930,7390970,0,0,1069310,0,29401100,164881446896
15,44,38683440,7073700,0,0,1620360,0,31485160,167701715676
15,45,37602530,7557490,0,0,1129280,0,29907380,170488861886
15,46,36560580,7266260,0,0,1175260,0,29159470,173277972636
15,47,38580820,7907470,0,0,1157490,0,30376160,176105539626
15,48,33006250,6194830,0,0,1079780,0,26721410,178827353216
15,49,46408950,7490810,0,0,1289900,0,38799660,181831452826
15,50,38733520,6941350,0,0,1242480,0,31703740,184371208736
15,51,37111320,7578470,0,0,1116870,0,29407530,187265067796
15,52,36049330,6923670,0,0,1146570,0,28881470,190073201676
15,53,36587510,7430590,0,0,1075080,0,29030160,192879451226
15,54,36572390,7146830,0,0,1212300,0,29293780,195675793526
15,55,36074130,7002670,0,0,1068250,0,28960980,198468889846
15,56,36338520,7093040,0,0,1169410,0,29114470,201276139286
15,57,36239310,7018940,0,0,1195260,0,29090170,204072521766
15,58,31170500,5547520,0,0,1038240,0,25559660,206739679906
15,59,37775260,7183110,0,0,1285990,0,30474210,209688966696
15,60,34686200,5889870,0,0,1084070,0,28731540,212372334576
15,61,36852550,6685900,0,0,1188150,0,30071860,215264868716
15,62,34911760,6476860,0,0,1216360,0,28342600,218043553526
15,63,38680100,8154380,0,0,1103600,0,30388620,220947338466
15,64,44772570,8676860,0,0,1356770,0,35943170,223789332596
15,65,47125870,8690260,0,0,1367440,0,38324670,226610633456
15,66,43225660,7654650,0,0,1213290,0,35437700,229359686496
15,67,36744800,7171210,0,0,1251250,0,29447930,232084772646
15,68,31905850,5933430,0,0,1037090,0,25903780,234782605516
15,69,49864470,8714730,0,0,1141120,0,41016090,237851774196
15,70,31715970,5926000,0,0,1111470,0,25727440,240383466496
15,71,35890210,7077670,0,0,1107100,0,28685810,243280036896
15,72,49330380,9158050,0,0,1620070,0,40033760,246263977516
15,73,44391910,8463910,0,0,1157360,0,35788460,248991845436
15,74,36635840,7402070,0,0,1165160,0,29106630,251677642496
15,75,32409550,5880860,0,0,1025250,0,26460260,254409800936
15,76,36530360,7255640,0,0,1190450,0,29148930,257276623536
15,77,36675150,7217660,0,0,1209030,0,29331690,260077746986
15,78,36178030,7346620,0,0,1097770,0,28699690,262873211446
15,79,35583510,6916300,0,0,1096520,0,28552180,265665133016
15,80,35886560,7150430,0,0,1051060,0,28623230,268468197016
15,81,36457510,7130280,0,0,1198750,0,29199270,271273980056
15,82,31819100,6715520,0,0,1011650,0,24973060,274024940676
15,83,36028330,7066550,0,0,1159280,0,28842120,276891125276
15,84,35913720,7188330,0,0,1059490,0,28600630,279670047766
15,85,36053680,7112210,0,0,1052530,0,28830580,282470949466
15,86,36541290,7190730,0,0,1160870,0,29207350,285276634996
15,87,30608450,5451710,0,0,1089660,0,25096500,287944974906
15,88,47985310,7831000,0,0,1118020,0,40023380,291022379716
15,89,39654790,7182640,0,0,1213400,0,32227420,293804949086
15,90,37444690,7326060,0,0,1125740,0,30001330,296478763036
15,91,36765000,7363420,0,0,1168430,0,29273150,299276857816
15,92,36297050,7071170,0,0,1140900,0,29104720,302071983476
15,93,36776780,7211600,0,0,1124770,0,29446090,304875410406
15,94,36952070,7196820,0,0,1121330,0,29479610,307685564606
15,95,36757830,7064020,0,0,1141170,0,29583530,310472772036
15,96,36783690,7227010,0,0,1122990,0,29435400,313274834806
15,97,35574190,6885570,0,0,1110090,0,28572960,316063266716
15,98,36752450,7246020,0,0,1121320,0,29388520,318876757986
15,99,36029760,7203620,0,0,1135100,0,28709080,321667859016
15,100,36953940,7218020,0,0,1125540,0,29609260,324484662206
15,101,36741900,7296370,0,0,1120640,0,29326540,327276205616
15,102,36209710,7068160,0,0,1117000,0,29020670,330071623846
15,103,36740290,7206780,0,0,1080520,0,29410490,332877494816
15,104,36772310,7262010,0,0,1112550,0,29391180,335680928166
15,105,36798840,7238580,0,0,1122970,0,29444670,338475881646
15,106,36577900,7325110,0,0,1220560,0,29129000,341275462136
15,107,36491000,7131230,0,0,1207240,0,29233400,344075497186
15,108,35923960,7174520,0,0,1058110,0,28625860,346867872136
15,109,30797580,5438620,0,0,1032690,0,25299900,349608168516
15,110,36692850,7093050,0,0,1163840,0,29477970,352475212666
15,111,39755890,8191830,0,0,1280780,0,31424830,355412818736
15,112,35744110,6923150,0,0,1070500,0,28705790,358063014836
15,113,37381320,7679960,0,0,1155610,0,29569820,360903570706
15,114,30613850,5341320,0,0,1161630,0,25214740,363659823426
15,115,36990850,7502610,0,0,1075740,0,29364520,366478001076
15,116,31631850,5775050,0,0,1083960,0,25792330,369152155306
15,117,43301160,8219740,0,0,1312700,0,34945690,372256380156
15,118,44391110,7275420,0,0,1236220,0,37044890,375036297036
15,119,31461110,5780250,0,0,1031040,0,25621820,377593191026
15,120,36947550,7305730,0,0,1136250,0,29528790,380477686436
15,121,31148750,5638700,0,0,1068750,0,25446980,383116476716
15,122,36716990,7275300,0,0,1210140,0,29327510,386073195386
15,123,42412930,6462280,0,0,1200020,0,35879560,388890713386
15,124,38945520,8133020,0,0,1145060,0,30663680,391764585176
15,125,37044130,7401860,0,0,1088520,0,29524120,394477090476
15,126,37053670,7401040,0,0,1116110,0,29481510,397280596746
15,127,35945090,7040420,0,0,1060290,0,28793330,400066913676
15,128,36646190,7265530,0,0,1070940,0,29251290,402877857526
15,129,31319320,5750110,0,0,1007380,0,25430300,405611141726
15,130,36682780,7026420,0,0,1146910,0,29537060,408470543846
15,131,37046770,7373950,0,0,1079890,0,29398910,411281337676
15,132,36359470,7068040,0,0,1197200,0,29177530,414070324526
15,133,36783260,7335170,0,0,1122210,0,29323410,416875002466
15,134,35691790,6945770,0,0,1212010,0,28628650,419658962406
15,135,37257060,7483470,0,0,1078650,0,29657700,422477173886
15,136,35691630,6601900,0,0,1194390,0,28970800,425247285746
15,137,36487110,7082420,0,0,1248980,0,29291560,428072012316
15,138,36611240,7150010,0,0,1192020,0,29344900,430873654876
15,139,36092810,7244630,0,0,1106360,0,28726520,433667412886
15,140,36962380,7222210,0,0,1143240,0,29619360,436474236576
15,141,46457870,7084810,0,0,1276250,0,39294370,439337470696
15,142,36083780,7093620,0,0,1116040,0,28877540,442062500436
15,143,37947890,7862970,0,0,1143020,0,29937380,444909149356
15,144,40135420,8182390,0,0,1135470,0,31813730,447807236156
15,145,31218660,5638590,0,0,1068140,0,25518700,450425206706
15,146,37743670,7131080,0,0,1180110,0,30498740,453353375896
15,147,36215630,7097550,0,0,1146230,0,29001350,456068007536
15,148,31047940,5316800,0,0,1117890,0,25670530,458731913826
15,149,37582090,7494520,0,0,1263560,0,29819180,461702931866
15,150,33904440,7637900,0,0,1021830,0,26144550,464437236776
15,151,37156500,7459500,0,0,1080840,0,29564280,467277627926
15,152,33996370,6691340,0,0,1098280,0,27213970,470122924496
15,153,37065090,7393170,0,0,1075180,0,29543300,472877037066
15,154,36014440,7014890,0,0,1074030,0,28886730,475661168236
15,155,37061540,7407120,0,0,1077210,0,29535150,478476074246
15,156,37100980,7473080,0,0,1068060,0,29504030,481278535216
15,157,34165470,6657450,0,0,1038760,0,27415570,484025160266
15,158,38592620,7780550,0,0,1205020,0,30682880,486912481276
15,159,33928560,6524520,0,0,1288050,0,27334220,489604839766
15,160,35445180,6734220,0,0,1069530,0,28597880,492450527146
15,161,36650220,7257130,0,0,1123520,0,29268770,495273990676
15,162,44591690,8217150,0,0,1160210,0,36191760,498205084386
15,163,31326360,5400000,0,0,1091160,0,25866510,500845809236
