chain_len,round,e2e_ns,publish_ns,gc_trigger_ns,invoke_cb_ns,getnext_ns,take_data_ns,sched_ns,dispatch_ns
3,0,4794160,931620,0,0,0,0,5595140,0
3,1,8564180,5708810,0,0,0,0,2774400,0
3,2,8801060,5997370,0,0,0,0,2557530,0
3,3,8087140,5431140,0,0,0,0,2572610,0
3,4,8002340,5580880,0,0,0,0,2349070,0
3,5,7856030,5149810,0,0,0,0,2638380,0
3,6,7960710,5498310,0,0,0,0,2391630,0
3,7,8568150,5684820,0,0,0,0,2619610,0
3,8,8291130,5721100,0,0,0,0,2494040,0
3,9,7847060,5121690,0,0,0,0,2653250,0
3,10,7755900,5093680,0,0,0,0,2598890,0
3,11,8038190,5579150,0,0,0,0,2375260,0
3,12,8616280,5696800,0,0,0,0,2835030,0
3,13,8122380,5581590,0,0,0,0,2468170,0
3,14,7998850,5589820,0,0,0,0,2337950,0
3,15,8020210,5593600,0,0,0,0,2352340,0
3,16,8239930,5741800,0,0,0,0,2424340,0
3,17,8506920,5775870,0,0,0,0,2652420,0
3,18,8630150,5702720,0,0,0,0,2842180,0
3,19,7986190,5551330,0,0,0,0,2351350,0
3,20,7969790,5548380,0,0,0,0,2349070,0
3,21,8171610,5695080,0,0,0,0,2400630,0
3,22,8993070,6060300,0,0,0,0,2853310,0
3,23,8209210,5719120,0,0,0,0,2420420,0
3,24,8025560,5596470,0,0,0,0,2356700,0
3,25,7893340,5451690,0,0,0,0,2363890,0
3,26,8111870,5640020,0,0,0,0,2398730,0
3,27,7114420,5544040,0,0,0,0,1486530,0
3,28,8260820,5722810,0,0,0,0,2460820,0
3,29,7977040,5504040,0,0,0,0,2404860,0
3,30,8085630,5617210,0,0,0,0,2398840,0
3,31,8204680,5694790,0,0,0,0,2433130,0
3,32,8767070,5955830,0,0,0,0,2735170,0
3,33,8133920,5640990,0,0,0,0,2413100,0
3,34,8123620,5684150,0,0,0,0,2362400,0
3,35,8066960,5543720,0,0,0,0,2448790,0
3,36,8142880,5537400,0,0,0,0,2519130,0
3,37,8770840,6022510,0,0,0,0,2666040,0
3,38,8128050,5656010,0,0,0,0,2387200,0
3,39,8171450,5677600,0,0,0,0,2417050,0
3,40,8308840,5809360,0,0,0,0,2433020,0
3,41,8237040,5761170,0,0,0,0,2397490,0
3,42,8206340,5576500,0,0,0,0,2373500,0
3,43,8048070,5628480,0,0,0,0,2340880,0
3,44,8063240,5640410,0,0,0,0,2348990,0
3,45,7752910,5901230,0,0,0,0,1619830,0
3,46,8103540,5652920,0,0,0,0,2371390,0
3,47,8478800,5670710,0,0,0,0,2715600,0
3,48,8120690,5662160,0,0,0,0,2381420,0
3,49,7902450,5502810,0,0,0,0,2326940,0
3,50,7692200,5082600,0,0,0,0,2543460,0
3,51,8130320,5661690,0,0,0,0,2390020,0
3,52,8645790,5874180,0,0,0,0,2691110,0
3,53,8725610,5907940,0,0,0,0,2740780,0
3,54,7963950,5502320,0,0,0,0,2385600,0
3,55,7835070,5419980,0,0,0,0,2336120,0
3,56,7690690,6007690,0,0,0,0,1604320,0
3,57,8761670,5958850,0,0,0,0,2723000,0
3,58,8138470,5665680,0,0,0,0,2398380,0
3,59,8516480,5816090,0,0,0,0,2621650,0
3,60,8071070,5618210,0,0,0,0,2385100,0
3,61,8529940,5776300,0,0,0,0,2662100,0
3,62,8227220,5613330,0,0,0,0,2536740,0
3,63,8127490,5623420,0,0,0,0,2427750,0
3,64,8443280,5654150,0,0,0,0,2715710,0
3,65,8609030,5638780,0,0,0,0,2728630,0
3,66,8548560,5800920,0,0,0,0,2666810,0
3,67,8527860,5659950,0,0,0,0,2603990,0
3,68,7916050,5513070,0,0,0,0,2334610,0
3,69,7862220,5433250,0,0,0,0,2353900,0
3,70,8960960,6344730,0,0,0,0,2533380,0
3,71,8058840,5604120,0,0,0,0,2378910,0
3,72,8588520,5694220,0,0,0,0,2812840,0
3,73,8075470,5633850,0,0,0,0,2366670,0
3,74,7938540,5540020,0,0,0,0,2326570,0
3,75,7765120,5093600,0,0,0,0,2586050,0
3,76,8007140,5594010,0,0,0,0,2325670,0
3,77,8934560,6102180,0,0,0,0,2746650,0
3,78,8111640,5659470,0,0,0,0,2379370,0
3,79,7856150,5456450,0,0,0,0,2329480,0
3,80,7948930,5532860,0,0,0,0,2350690,0
3,81,8232310,5759850,0,0,0,0,2394680,0
3,82,8535380,5633040,0,0,0,0,2822410,0
3,83,7943930,5549130,0,0,0,0,2321630,0
3,84,8868560,6324240,0,0,0,0,2475410,0
3,85,7950400,5579920,0,0,0,0,2301350,0
3,86,8589900,5881620,0,0,0,0,2633120,0
3,87,2245620,1643120,0,0,0,0,567210,0
3,88,8104200,5633430,0,0,0,0,2390900,0
3,89,8024630,5529600,0,0,0,0,2418080,0
3,90,8317490,5693050,0,0,0,0,2552650,0
3,91,8042720,5595760,0,0,0,0,2370230,0
3,92,8590880,5691050,0,0,0,0,2820660,0
3,93,8217400,5725620,0,0,0,0,2417980,0
3,94,8214440,5766770,0,0,0,0,2375960,0
3,95,7693940,5012540,0,0,0,0,2612940,0
3,96,9555240,6948440,0,0,0,0,2518600,0
3,97,8744750,5949320,0,0,0,0,2713710,0
3,98,8019430,5573190,0,0,0,0,2370220,0
3,99,8117490,5648460,0,0,0,0,2385000,0
3,100,7942670,5514270,0,0,0,0,2355840,0
3,101,8063260,5591340,0,0,0,0,2396380,0
3,102,8410330,5595680,0,0,0,0,2735880,0
3,103,7117190,5822550,0,0,0,0,1162240,0
3,104,8719630,5897760,0,0,0,0,2736850,0
3,105,8608120,5843970,0,0,0,0,2449760,0
3,106,8070230,5616250,0,0,0,0,2380680,0
3,107,8447650,5780940,0,0,0,0,2431560,0
3,108,6918180,5287690,0,0,0,0,1543120,0
3,109,8162400,5721540,0,0,0,0,2369140,0
3,110,7892780,5451130,0,0,0,0,2371350,0
3,111,7918440,5508070,0,0,0,0,2341410,0
3,112,8404240,5597230,0,0,0,0,2725310,0
3,113,7996420,5538710,0,0,0,0,2379740,0
3,114,8159540,5700700,0,0,0,0,2385170,0
3,115,2601330,1809980,0,0,0,0,754430,0
