chain_len,round,e2e_ns,publish_ns,gc_trigger_ns,invoke_cb_ns,getnext_ns,take_data_ns,sched_ns,dispatch_ns
3,0,14902340,7153820,0,0,0,0,6628760,0
3,1,2101670,1325000,0,0,0,0,699080,0
3,2,2042030,1311740,0,0,0,0,651950,0
3,3,1801560,1159240,0,0,0,0,576240,0
3,4,1961950,1268200,0,0,0,0,607000,0
3,5,1974790,1266360,0,0,0,0,618170,0
3,6,1997570,1299080,0,0,0,0,612660,0
3,7,1871200,1206530,0,0,0,0,594060,0
3,8,1873090,1228720,0,0,0,0,582680,0
3,9,1981050,1287290,0,0,0,0,608660,0
3,10,1959750,1258220,0,0,0,0,612950,0
3,11,1942670,1257710,0,0,0,0,604310,0
3,12,1853180,1188880,0,0,0,0,592040,0
3,13,1757330,1129410,0,0,0,0,565450,0
3,14,1950010,1259820,0,0,0,0,604960,0
3,15,1989140,1286030,0,0,0,0,617700,0
3,16,1888550,1204320,0,0,0,0,604160,0
3,17,1908370,1222570,0,0,0,0,615370,0
3,18,2473390,1262010,0,0,0,0,1146310,0
3,19,2705750,1897190,0,0,0,0,678940,0
3,20,2676750,1676170,0,0,0,0,658750,0
3,21,1975310,1278370,0,0,0,0,615130,0
3,22,1830360,1175470,0,0,0,0,582490,0
3,23,1737370,1111810,0,0,0,0,561600,0
3,24,3695810,2249450,0,0,0,0,1308960,0
3,25,3527780,1904330,0,0,0,0,1496320,0
3,26,2805010,2012350,0,0,0,0,683130,0
3,27,1843650,1182680,0,0,0,0,583900,0
3,28,1867060,1209180,0,0,0,0,588010,0
3,29,1970200,1269610,0,0,0,0,617040,0
3,30,2029320,1316100,0,0,0,0,626430,0
3,31,1942270,1245670,0,0,0,0,619720,0
3,32,2091600,1344820,0,0,0,0,674750,0
3,33,440290,242080,0,0,0,0,120160,0
3,34,1919850,1228320,0,0,0,0,607470,0
3,35,1014110,604640,0,0,0,0,364870,0
3,36,2571880,1455500,0,0,0,0,1030380,0
3,37,2526680,1435520,0,0,0,0,771160,0
3,38,1799460,1143750,0,0,0,0,583230,0
3,39,1949670,941580,0,0,0,0,750310,0
3,40,2940620,1891910,0,0,0,0,714530,0
3,41,3650160,2026250,0,0,0,0,1292870,0
3,42,1982390,1271050,0,0,0,0,623420,0
3,43,1769730,1133570,0,0,0,0,569570,0
3,44,2005440,1275770,0,0,0,0,635610,0
3,45,1901580,1221070,0,0,0,0,598140,0
3,46,1828850,1174190,0,0,0,0,583070,0
3,47,1935140,1233680,0,0,0,0,632890,0
3,48,3588010,1996820,0,0,0,0,1273960,0
3,49,3497860,1692250,0,0,0,0,1492350,0
3,50,2749780,1768450,0,0,0,0,660480,0
3,51,1968390,1110460,0,0,0,0,757360,0
3,52,1926950,1225390,0,0,0,0,615490,0
3,53,1774260,1121250,0,0,0,0,577880,0
3,54,1947340,1236890,0,0,0,0,616380,0
3,55,3500400,1786590,0,0,0,0,1370290,0
3,56,3779730,1880810,0,0,0,0,1552770,0
3,57,3416990,1664660,0,0,0,0,1434920,0
3,58,3320740,1601640,0,0,0,0,1421240,0
3,59,3610430,2012580,0,0,0,0,1275300,0
3,60,3650780,2038590,0,0,0,0,1292500,0
3,61,3712390,2060680,0,0,0,0,1320800,0
3,62,2098860,1168400,0,0,0,0,827260,0
3,63,1836100,1201530,0,0,0,0,560880,0
3,64,1909960,1236610,0,0,0,0,587740,0
3,65,1956470,1099730,0,0,0,0,618910,0
3,66,3461240,1928650,0,0,0,0,1198730,0
3,67,1910410,936810,0,0,0,0,892260,0
3,68,1789080,1140260,0,0,0,0,577240,0
3,69,1886990,1202040,0,0,0,0,601370,0
3,70,1943190,1229980,0,0,0,0,623350,0
3,71,1884710,1200150,0,0,0,0,594290,0
3,72,1962700,1252910,0,0,0,0,628010,0
3,73,1757480,1114530,0,0,0,0,572200,0
3,74,1928560,1214230,0,0,0,0,624510,0
3,75,1945410,1220480,0,0,0,0,631080,0
3,76,1885090,1183520,0,0,0,0,613390,0
3,77,2480340,1276660,0,0,0,0,1129330,0
3,78,1797610,1129930,0,0,0,0,594110,0
3,79,1882630,1196970,0,0,0,0,604310,0
3,80,1989230,1008410,0,0,0,0,781410,0
3,81,1932060,1132330,0,0,0,0,613120,0
3,82,1917600,1214160,0,0,0,0,614590,0
3,83,1930550,1219490,0,0,0,0,631460,0
3,84,1924710,1145480,0,0,0,0,608730,0
3,85,1995390,1036340,0,0,0,0,767060,0
3,86,1985190,1026600,0,0,0,0,780350,0
3,87,1889740,1104490,0,0,0,0,605260,0
3,88,1976330,1003480,0,0,0,0,778680,0
3,89,1984300,1006160,0,0,0,0,791280,0
3,90,1967450,1016020,0,0,0,0,773090,0
3,91,1958150,1006650,0,0,0,0,767630,0
3,92,2025490,1054470,0,0,0,0,802500,0
3,93,2475180,1196070,0,0,0,0,1095050,0
3,94,1928910,985680,0,0,0,0,761990,0
3,95,1945290,1007610,0,0,0,0,760950,0
3,96,1867970,1087740,0,0,0,0,601730,0
3,97,2401270,1133570,0,0,0,0,1097330,0
3,98,1887120,1095240,0,0,0,0,623250,0
3,99,1846880,1066610,0,0,0,0,608720,0
3,100,1994390,1019000,0,0,0,0,788200,0
3,101,1962330,1018290,0,0,0,0,756410,0
3,102,1882070,952330,0,0,0,0,603090,0
3,103,1757010,1011980,0,0,0,0,584770,0
3,104,2397430,1108110,0,0,0,0,1115480,0
3,105,2449730,1648610,0,0,0,0,661030,0
3,106,2634130,1821900,0,0,0,0,681700,0
3,107,2164970,1043440,0,0,0,0,953970,0
3,108,2431600,1204160,0,0,0,0,1064190,0
3,109,1899430,960340,0,0,0,0,765590,0
3,110,1914080,974420,0,0,0,0,770340,0
3,111,2451440,1159690,0,0,0,0,1120600,0
3,112,2322760,1555860,0,0,0,0,637970,0
3,113,1727770,1049980,0,0,0,0,593630,0
3,114,3526790,1824950,0,0,0,0,1334070,0
3,115,1853430,995730,0,0,0,0,764730,0
3,116,1972880,1006430,0,0,0,0,785690,0
3,117,1880710,1105870,0,0,0,0,607240,0
3,118,1852180,1085770,0,0,0,0,608060,0
3,119,2356600,1155380,0,0,0,0,1036530,0
3,120,1900670,977180,0,0,0,0,763030,0
3,121,2551430,1429980,0,0,0,0,939810,0
3,122,1936820,989110,0,0,0,0,794040,0
3,123,1802660,1051020,0,0,0,0,603000,0
3,124,3544010,1830290,0,0,0,0,1313820,0
3,125,3429340,2021320,0,0,0,0,1269790,0
3,126,1888050,1013250,0,0,0,0,774480,0
3,127,1781370,949670,0,0,0,0,591030,0
3,128,1781280,948820,0,0,0,0,753690,0
3,129,1845040,979050,0,0,0,0,783110,0
3,130,3571120,1857970,0,0,0,0,1562650,0
3,131,2776890,1816130,0,0,0,0,851170,0
3,132,1842950,957170,0,0,0,0,797080,0
3,133,3530710,2100120,0,0,0,0,1286930,0
3,134,3505410,1811340,0,0,0,0,1558530,0
3,135,2640430,1825950,0,0,0,0,678190,0
3,136,1825800,970130,0,0,0,0,765150,0
3,137,1807060,964180,0,0,0,0,767870,0
3,138,1671110,1017100,0,0,0,0,584570,0
3,139,3727950,2225870,0,0,0,0,1338180,0
