
RTEMS Shell on /dev/console. Use 'help' to list commands.
SHLL [/] # nexus0: <RTEMS Nexus device>
info: lo0: link state changed to UP
=== Exp3inter-ST: Task Chain (n=15) SingleThreadedExecutor ===
Period: 200ms, Rounds: 500
[E3IST-CSV] chain_len,round,e2e_ns,publish_ns,gc_trigger_ns,invoke_cb_ns,getnext_ns,take_data_ns,sched_ns,dispatch_ns
666666
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
C Msg not NULL
C Msg not NULL
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
C Msg not NULL
C Msg not NULL
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
C Msg not NULL
C Msg not NULL
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
C Msg not NULL
C Msg not NULL
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
C Msg not NULL
C Msg not NULL
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
C Msg not NULL
C Msg not NULL
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
C Msg not NULL
C Msg not NULL
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
C Msg not NULL
C Msg not NULL
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
C Msg not NULL
C Msg not NULL
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
C Msg not NULL
C Msg not NULL
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
C Msg not NULL
C Msg not NULL
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
C Msg not NULL
C Msg not NULL
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
C Msg not NULL
C Msg not NULL
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
C Msg not NULL
C Msg not NULL
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
C Msg not NULL
C Msg not NULL
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Srv not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
CPP Msg not nullptr
[E3IST-CSV] 15,0,58254610,6646140,0,0,1298750,0,51261700,46960501706
[E3IST-CSV] 15,1,43089880,5618020,0,0,1163220,0,37421700,47793300296
[E3IST-CSV] 15,2,40167280,5262150,0,0,1113980,0,34853070,49951179376
[E3IST-CSV] 15,3,35661300,5458490,0,0,1268030,0,30150960,52696049546
[E3IST-CSV] 15,4,30893960,5443300,0,0,1136100,0,25391770,55845334706
[E3IST-CSV] 15,5,35418700,7053180,0,0,1201480,0,28262270,58447293606
[E3IST-CSV] 15,6,35816680,7137890,0,0,1051750,0,28301150,61254567926
[E3IST-CSV] 15,7,33756110,6951840,0,0,1054710,0,26668090,64040869996
[E3IST-CSV] 15,8,37842310,7716450,0,0,1246500,0,29988910,66878867166
[E3IST-CSV] 15,9,36431680,7556700,0,0,1043590,0,28747480,69668960076
[E3IST-CSV] 15,10,37926950,8009890,0,0,1157230,0,29776780,72478748496
[E3IST-CSV] 15,11,56690010,10896000,0,0,1207040,0,45656550,75548187146
[E3IST-CSV] 15,12,46080210,7943830,0,0,1137270,0,38008000,78215991806
[E3IST-CSV] 15,13,37026300,7605320,0,0,1091880,0,29284680,80877061826
[E3IST-CSV] 15,14,42348200,8207270,0,0,1081860,0,34004950,83747876396
[E3IST-CSV] 15,15,39345150,8287170,0,0,1367340,0,30778960,86507080306
[E3IST-CSV] 15,16,38125740,8156430,0,0,1097810,0,29835390,89297177556
[E3IST-CSV] 15,17,36662200,7736050,0,0,1253500,0,28795420,92076752876
[E3IST-CSV] 15,18,37426520,7756660,0,0,1208810,0,29535700,94891735736
[E3IST-CSV] 15,19,48482240,9144310,0,0,1471680,0,39189680,97835231596
[E3IST-CSV] 15,20,48844200,7510910,0,0,1222800,0,41226960,100722366786
[E3IST-CSV] 15,21,30632650,5717740,0,0,1074340,0,24853300,103118650516
[E3IST-CSV] 15,22,36120060,7124650,0,0,1120570,0,28871810,106077654046
[E3IST-CSV] 15,23,31661240,5968350,0,0,1005630,0,25627150,108756979136
[E3IST-CSV] 15,24,43893070,8920370,0,0,1160960,0,34824710,111764723106
[E3IST-CSV] 15,25,37377580,7612600,0,0,1105240,0,29624150,114486961226
[E3IST-CSV] 15,26,37045870,7564870,0,0,1052550,0,29347850,117279684336
[E3IST-CSV] 15,27,48784260,9897260,0,0,1334190,0,38731930,120340212046
[E3IST-CSV] 15,28,54397270,8689770,0,0,1157730,0,45562170,123125277366
[E3IST-CSV] 15,29,32553150,5893080,0,0,1120320,0,26591190,125549311576
[E3IST-CSV] 15,30,36234310,7378990,0,0,1094120,0,28729820,128464145446
[E3IST-CSV] 15,31,31126890,5893530,0,0,1008270,0,25168760,131144143216
[E3IST-CSV] 15,32,38025670,7735490,0,0,1160090,0,30150400,134103334726
[E3IST-CSV] 15,33,51475170,10104990,0,0,1245780,0,41214580,137104766406
[E3IST-CSV] 15,34,56631920,9104850,0,0,1460440,0,47412110,139921807156
[E3IST-CSV] 15,35,31125340,5757500,0,0,1000360,0,25302650,142327081926
[E3IST-CSV] 15,36,31349560,5675720,0,0,1258320,0,25458910,145207815436
[E3IST-CSV] 15,37,37478480,7798270,0,0,1128640,0,29541110,148076430276
[E3IST-CSV] 15,38,36168960,7331510,0,0,1073850,0,28715090,150854399106
[E3IST-CSV] 15,39,36728280,7463030,0,0,1146210,0,29084110,153673141326
[E3IST-CSV] 15,40,36897130,7602130,0,0,1101020,0,28909770,156473964336
[E3IST-CSV] 15,41,37674190,7909270,0,0,1111370,0,29370060,159281674216
[E3IST-CSV] 15,42,36803140,7505660,0,0,1184490,0,29173110,162074409406
[E3IST-CSV] 15,43,36732010,7588120,0,0,1051880,0,29013340,164865013996
[E3IST-CSV] 15,44,36470120,7565970,0,0,1093630,0,28779200,167670622376
[E3IST-CSV] 15,45,36804470,6577610,0,0,1175250,0,30138380,170332698116
[E3IST-CSV] 15,46,35528220,7035670,0,0,1099560,0,28156680,173254228716
[E3IST-CSV] 15,47,36584470,7760480,0,0,1041530,0,28694990,176072928596
[E3IST-CSV] 15,48,37206500,7764780,0,0,1064650,0,29317690,178870591636
[E3IST-CSV] 15,49,34448880,6861660,0,0,1070560,0,27355400,181626197166
[E3IST-CSV] 15,50,37389200,7857730,0,0,1232920,0,29389810,184475947076
[E3IST-CSV] 15,51,35940190,7250410,0,0,1035730,0,28573430,187254156246
[E3IST-CSV] 15,52,37245150,7646830,0,0,1196250,0,29470540,190074192386
[E3IST-CSV] 15,53,36686400,7316930,0,0,1055830,0,29238720,192867723026
[E3IST-CSV] 15,54,37323220,7637090,0,0,1227200,0,29395030,195677528456
[E3IST-CSV] 15,55,36631840,7707650,0,0,1066970,0,28801010,198471660776
[E3IST-CSV] 15,56,36708270,7739670,0,0,1060580,0,28837190,201266552046
[E3IST-CSV] 15,57,37157960,7473030,0,0,1089960,0,29565460,204071036306
[E3IST-CSV] 15,58,36414160,7396000,0,0,1089480,0,28884610,206861780146
[E3IST-CSV] 15,59,35983550,7174440,0,0,1094930,0,28537930,209659524776
[E3IST-CSV] 15,60,36689310,7546940,0,0,1160420,0,29024090,212477538046
[E3IST-CSV] 15,61,36492610,7354650,0,0,1156150,0,29019120,215264318226
[E3IST-CSV] 15,62,36428060,7414680,0,0,1055690,0,28750200,218066858906
[E3IST-CSV] 15,63,36973120,7467630,0,0,1138240,0,29378500,220874529616
[E3IST-CSV] 15,64,37247500,7789010,0,0,1076730,0,29330750,223678425636
[E3IST-CSV] 15,65,34967220,7165610,0,0,1074260,0,27577650,226428572086
[E3IST-CSV] 15,66,35598740,7098260,0,0,1249110,0,28377060,229248374816
[E3IST-CSV] 15,67,37084440,7584890,0,0,1132960,0,29363130,232076580486
[E3IST-CSV] 15,68,36875520,7846670,0,0,1049890,0,28760130,234869466636
[E3IST-CSV] 15,69,39006440,8234920,0,0,1119060,0,30626160,237705782066
[E3IST-CSV] 15,70,35043540,7968710,0,0,1048380,0,26935840,240468589676
[E3IST-CSV] 15,71,37400710,7535620,0,0,1134810,0,29726240,243263103296
[E3IST-CSV] 15,72,36782530,7823680,0,0,1082430,0,28826080,246067294076
[E3IST-CSV] 15,73,35063900,6605880,0,0,1060160,0,28368870,248808387706
[E3IST-CSV] 15,74,41520400,7307860,0,0,1198780,0,34109980,251705211706
[E3IST-CSV] 15,75,37399580,7708060,0,0,1173480,0,29561660,254479533696
[E3IST-CSV] 15,76,43350670,9882730,0,0,1131640,0,33331310,257379367586
[E3IST-CSV] 15,77,37962740,7895670,0,0,1105990,0,29921620,260058158206
[E3IST-CSV] 15,78,34907020,6710980,0,0,1123350,0,28087450,262815396186
[E3IST-CSV] 15,79,37359560,7855390,0,0,1103960,0,29358510,265674340846
[E3IST-CSV] 15,80,37788690,7986610,0,0,1067360,0,29666760,268478677046
[E3IST-CSV] 15,81,38844430,8425070,0,0,1056860,0,30280090,271290378616
[E3IST-CSV] 15,82,39384420,7197240,0,0,1239040,0,32086160,273990700256
[E3IST-CSV] 15,83,37038170,8018930,0,0,1182750,0,28876250,276871544916
[E3IST-CSV] 15,84,37002420,8325940,0,0,1130010,0,28260000,279672894216
[E3IST-CSV] 15,85,38848840,7688380,0,0,1235210,0,31033820,282484245866
[E3IST-CSV] 15,86,36909580,7968400,0,0,1037550,0,28817400,285267158436
[E3IST-CSV] 15,87,45633250,9674440,0,0,1299890,0,35803230,288171726706
[E3IST-CSV] 15,88,38282550,8024300,0,0,1166730,0,30120440,290876130926
[E3IST-CSV] 15,89,38594070,8537480,0,0,1198900,0,29910880,293682250256
[E3IST-CSV] 15,90,35924800,7137750,0,0,1046000,0,28673620,296446633916
[E3IST-CSV] 15,91,38872330,7766990,0,0,1064390,0,30967150,299294471276
[E3IST-CSV] 15,92,32944400,7672050,0,0,1014320,0,24975610,302015443216
[E3IST-CSV] 15,93,35284440,7186160,0,0,1083880,0,27979500,304872520806
[E3IST-CSV] 15,94,37388010,7760810,0,0,1156040,0,29484150,307673801326
[E3IST-CSV] 15,95,37513570,8027820,0,0,1123090,0,29347720,310477430726
[E3IST-CSV] 15,96,40244280,8229320,0,0,1076710,0,31868820,313221818726
[E3IST-CSV] 15,97,39503080,8435500,0,0,1360550,0,30793180,316093384176
[E3IST-CSV] 15,98,45598220,9759310,0,0,1452100,0,35686950,318962820946
[E3IST-CSV] 15,99,31098250,5753190,0,0,1008760,0,25275640,321525232766
