chain_len,round,e2e_ns,publish_ns,gc_trigger_ns,invoke_cb_ns,getnext_ns,take_data_ns,sched_ns,dispatch_ns
5,0,18756150,2205000,0,0,213980,0,16208340,8360292546
5,1,5620750,1536000,0,0,175710,0,4059370,8649907676
5,2,9291480,3998290,0,0,165720,0,5182360,9452562486
5,3,20120030,5854230,0,0,504290,0,14150570,10281987786
5,4,19734980,5807180,0,0,384140,0,13651870,11072921406
5,5,20970040,6149910,0,0,521270,0,14529010,11880345766
5,6,18826560,5823360,0,0,357020,0,12882490,12670588026
5,7,19749460,5987470,0,0,392550,0,13643550,13472245816
5,8,9079810,4129790,0,0,178550,0,4846870,14241840486
5,9,20841220,6278150,0,0,501170,0,14348820,15078704836
5,10,8892610,4216530,0,0,169610,0,4555870,15838362936
5,11,13223490,4456190,0,0,262970,0,8640130,16661542476
5,12,19543250,5918630,0,0,370670,0,13499130,17472091396
5,13,11994840,3999890,0,0,246740,0,7890360,18249198216
5,14,10125460,3310970,0,0,213500,0,6730370,19046052506
5,15,17469430,5255960,0,0,326170,0,12084340,19866224346
5,16,20349410,6018270,0,0,422420,0,14036110,20675963616
5,17,18570450,5643530,0,0,392150,0,12808600,21468485446
5,18,11470750,3403170,0,0,214330,0,7974760,22242869836
5,19,19107310,5389760,0,0,356050,0,13604480,23070983966
5,20,15449300,4353240,0,0,364080,0,10996830,23858085596
5,21,12292160,4143790,0,0,241150,0,8047370,24649598436
5,22,13622760,4476480,0,0,262520,0,9037030,25453643546
5,23,16085720,5098780,0,0,300190,0,10874290,26260865186
5,24,19560650,5943550,0,0,411650,0,13491210,27073543506
5,25,19027950,5691560,0,0,377300,0,13219190,27869857956
5,26,20945500,6421250,0,0,407120,0,14398820,28675827656
5,27,20031170,5919330,0,0,481940,0,13988350,29471648476
5,28,15226360,4976440,0,0,267280,0,10134180,30260288696
5,29,19953760,6043340,0,0,399240,0,13782510,31072608466
5,30,19456490,5741930,0,0,429000,0,13594000,31871668316
5,31,8962560,3816160,0,0,172660,0,5044120,32637106336
5,32,29485740,9854650,0,0,507870,0,19456520,33520901896
5,33,20279610,5863540,0,0,562980,0,14291210,34272095996
5,34,30063990,8703210,0,0,716950,0,21087800,35098833876
5,35,19863190,6095760,0,0,409850,0,13643830,35871964036
5,36,17996050,7031440,0,0,682470,0,10842870,36652942126
5,37,21957600,6264480,0,0,605720,0,15432000,37498664726
5,38,21790100,6395340,0,0,453950,0,15100750,38290373116
5,39,20011450,6031880,0,0,414050,0,13862100,39072969446
5,40,21557200,6544160,0,0,571010,0,14892260,39877831106
5,41,19501980,5830010,0,0,440450,0,13552650,40671168766
5,42,14104630,5161160,0,0,388320,0,8794380,41456295056
5,43,23028120,6907320,0,0,634950,0,15980120,42293173026
5,44,10970490,3225040,0,0,351730,0,7688550,43049530016
5,45,19101950,6187800,0,0,467740,0,12796600,43871971006
5,46,23562590,7115680,0,0,618430,0,16320890,44695809006
5,47,13575950,4641500,0,0,171340,0,8830910,45453848976
5,48,20159020,6142420,0,0,408410,0,13895050,46275781256
5,49,18313860,6642500,0,0,421640,0,11520290,47087010206
5,50,11505300,4135650,0,0,170510,0,7250790,47863780206
5,51,22061980,7759190,0,0,414190,0,14134240,48694449886
5,52,19154450,5954420,0,0,568630,0,13076810,49472447916
5,53,14529580,4922630,0,0,366950,0,9486660,50256490006
5,54,22683140,7160790,0,0,506130,0,15394450,51083210196
5,55,18118850,5587870,0,0,361490,0,12406560,51872830696
5,56,16327810,4657420,0,0,355170,0,11549590,52664177306
5,57,8927270,4187210,0,0,173740,0,4634390,53438044346
5,58,9633830,3993360,0,0,213530,0,5538510,54244924446
5,59,19406800,5617150,0,0,395290,0,13667250,55070145126
5,60,21173160,6421820,0,0,594040,0,14626020,55877672106
5,61,10188090,4216860,0,0,168770,0,5867970,56647099686
5,62,15173930,4159720,0,0,342790,0,10878820,57475058546
5,63,21421770,6473650,0,0,509900,0,14824500,58275283526
5,64,12927150,4294560,0,0,249950,0,8515290,59056165626
5,65,27184390,7420830,0,0,639860,0,19636730,59897864176
5,66,20281670,6066650,0,0,424740,0,14089800,60677765216
5,67,17784710,5146450,0,0,280790,0,12274490,61468170316
5,68,19376270,5159850,0,0,329660,0,13942340,62289136746
5,69,12303580,6265930,0,0,315910,0,5915150,63048408156
5,70,13691350,4229390,0,0,226200,0,9353570,63851989706
5,71,24733340,6892130,0,0,483350,0,17710960,64690964926
5,72,13540430,4905440,0,0,243110,0,8250720,65455891676
5,73,20403440,6228660,0,0,440240,0,14049960,66277474296
5,74,8953210,4083980,0,0,171020,0,4765070,67038117636
5,75,24770100,7604010,0,0,478710,0,17029610,67888322816
5,76,24490570,7599840,0,0,620210,0,16759960,68688546196
5,77,11019720,3443890,0,0,167530,0,7465760,69458573816
5,78,15813960,4807900,0,0,336940,0,10893670,70263286756
5,79,18582830,5521960,0,0,351080,0,12781550,71069265576
5,80,19652020,5921120,0,0,388260,0,13610150,71871586426
5,81,16346630,5041590,0,0,311270,0,11187360,72663790446
5,82,22342710,8634820,0,0,675690,0,13484660,73491420346
5,83,15277480,4269570,0,0,489100,0,10899460,74263321156
5,84,26119630,9051900,0,0,627500,0,16890070,75108172066
5,85,18150410,5478470,0,0,297800,0,12586270,75862755286
5,86,22910490,6601240,0,0,530070,0,16177810,76698961956
5,87,18213920,5444720,0,0,353740,0,12648830,77477831526
5,88,15919160,5167650,0,0,395570,0,10601990,78262719976
5,89,20030630,6071110,0,0,480030,0,13820500,79071781986
5,90,30061800,9259460,0,0,590820,0,20663330,79908495606
5,91,14973260,5874550,0,0,208870,0,8939620,80677228886
5,92,23083000,6793030,0,0,670070,0,16166850,81480324786
5,93,21321080,6365340,0,0,422390,0,14828800,82283272076
5,94,20725300,6139900,0,0,430440,0,14309610,83079110156
5,95,19299430,5748940,0,0,369390,0,13434730,83885123676
5,96,23760410,6870920,0,0,479370,0,16749150,84701737036
5,97,22802900,6520770,0,0,526250,0,16086170,85499443596
5,98,18734460,5609710,0,0,497830,0,13009710,86271097666
5,99,23613310,7029700,0,0,468060,0,16461970,87090196356
5,100,10532800,4226700,0,0,164370,0,6195250,87846650436
5,101,27637500,7474910,0,0,599590,0,20021660,88692202496
5,102,19741340,5937710,0,0,398660,0,13677870,89471243996
5,103,19228280,5760450,0,0,531380,0,13355230,90269098316
5,104,8650510,4110450,0,0,179020,0,4422920,91037160076
5,105,19268200,5929810,0,0,390150,0,13206980,91873877156
